source,record_key,reason,raw_record
customers.csv,C0055,invalid customer key/date/grade,"{""customer_id"":""C0055"",""customer_name"":""윤도윤"",""email"":""customer0055@example.com"",""phone"":""010-4659-5341"",""grade"":""PLATINUM"",""city"":""성남"",""joined_at"":1712275200000,""marketing_agreed"":""N"",""updated_at"":1789405200000}"
orders.csv,C0055/O000017,invalid order date/status or orphan customer,"{""order_id"":""O000017"",""customer_id"":""C0055"",""ordered_at"":1778007360000,""channel"":""STORE"",""status"":""COMPLETED"",""shipping_fee"":0,""coupon_code"":""WELCOME10"",""updated_at"":1778158560000}"
orders.csv,C0055/O000033,invalid order date/status or orphan customer,"{""order_id"":""O000033"",""customer_id"":""C0055"",""ordered_at"":1772028720000,""channel"":""CALL"",""status"":""PAID"",""shipping_fee"":0,""coupon_code"":"""",""updated_at"":1772035920000}"
orders.csv,C0055/O000075,invalid order date/status or orphan customer,"{""order_id"":""O000075"",""customer_id"":""C0055"",""ordered_at"":1776862380000,""channel"":""STORE"",""status"":""COMPLETED"",""shipping_fee"":0,""coupon_code"":""VIP15"",""updated_at"":1776991980000}"
orders.csv,C0055/O000113,invalid order date/status or orphan customer,"{""order_id"":""O000113"",""customer_id"":""C0055"",""ordered_at"":1789288620000,""channel"":""WEB"",""status"":""COMPLETED"",""shipping_fee"":3000,""coupon_code"":""VIP15"",""updated_at"":1789378620000}"
orders.csv,C0018/O000287,invalid order date/status or orphan customer,"{""order_id"":""O000287"",""customer_id"":""C0018"",""ordered_at"":null,""channel"":""WEB"",""status"":""PAID"",""shipping_fee"":0,""coupon_code"":"""",""updated_at"":1777855680000}"
orders.csv,C0055/O000323,invalid order date/status or orphan customer,"{""order_id"":""O000323"",""customer_id"":""C0055"",""ordered_at"":1779828060000,""channel"":""APP"",""status"":""COMPLETED"",""shipping_fee"":0,""coupon_code"":""APP5000"",""updated_at"":1779900060000}"
orders.csv,C9999/O000333,invalid order date/status or orphan customer,"{""order_id"":""O000333"",""customer_id"":""C9999"",""ordered_at"":1774777920000,""channel"":""APP"",""status"":""COMPLETED"",""shipping_fee"":3000,""coupon_code"":"""",""updated_at"":1774878720000}"
order_items.csv,P0003/O000007/2,invalid quantity/price/discount or orphan key,"{""order_id"":""O000007"",""line_no"":2,""product_id"":""P0003"",""quantity"":2,""unit_price"":89000,""discount_rate"":1.2}"
order_items.csv,P0021/O000014/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000014"",""line_no"":1,""product_id"":""P0021"",""quantity"":3,""unit_price"":49000,""discount_rate"":1.2}"
