customer_id,customer_name,grade,city,order_count,total_quantity,total_amount,last_order_at,avg_order_amount
C0001,조수빈,BRONZE,수원,3,11,1174250.0,2026-06-04 10:15:00,391417.0
C0002,이서연,SILVER,수원,7,35,2021800.0,2026-07-15 15:14:00,288829.0
C0003,최수빈,SILVER,성남,5,27,1373200.0,2026-09-04 08:16:00,274640.0
C0004,강지민,SILVER,고양,4,19,774900.0,2026-09-15 15:03:00,193725.0
C0005,최시우,GOLD,김포,4,28,2081900.0,2026-05-17 21:16:00,520475.0
C0006,윤민준,SILVER,인천,11,49,3109150.0,2026-09-06 09:09:00,282650.0
C0007,윤예린,GOLD,서울,3,10,233400.0,2026-09-14 12:21:00,77800.0
C0008,정지민,SILVER,고양,4,35,1459450.0,2026-06-24 11:18:00,364862.0
C0009,조수빈,VIP,김포,8,43,1682350.0,2026-09-14 20:32:00,210294.0
C0010,박지민,VIP,수원,7,26,870900.0,2026-09-01 20:16:00,124414.0
C0011,윤시우,BRONZE,광명,7,39,1987700.0,2026-09-05 12:08:00,283957.0
C0012,강예린,VIP,서울,5,16,605450.0,2026-09-11 20:55:00,121090.0
C0013,강예린,BRONZE,고양,8,31,1474400.0,2026-09-12 12:28:00,184300.0
C0014,이준서,GOLD,고양,4,26,1846200.0,2026-07-28 17:52:00,461550.0
C0015,최지민,VIP,김포,5,22,920300.0,2026-08-23 19:51:00,184060.0
C0016,임준서,SILVER,부천,7,35,1474050.0,2026-08-06 20:47:00,210579.0
C0017,정하윤,SILVER,광명,3,19,795700.0,2026-08-10 08:39:00,265233.0
C0018,조도윤,GOLD,용인,9,42,1546150.0,2026-08-16 13:49:00,171794.0
C0019,강시우,BRONZE,김포,9,53,2369300.0,2026-09-12 16:37:00,263256.0
C0020,정도윤,SILVER,서울,5,26,912650.0,2026-08-02 12:44:00,182530.0
C0021,윤지훈,BRONZE,부천,4,11,333550.0,2026-04-08 14:34:00,83388.0
C0022,장유진,SILVER,성남,8,39,2204900.0,2026-08-28 21:18:00,275612.0
C0023,강지민,SILVER,인천,9,46,2039050.0,2026-08-17 20:08:00,226561.0
C0024,이지민,BRONZE,김포,8,28,1336600.0,2026-08-24 16:32:00,167075.0
C0025,이하윤,BRONZE,수원,2,13,548000.0,2026-09-09 11:26:00,274000.0
C0026,이지훈,VIP,수원,5,30,1472600.0,2026-08-08 19:19:00,294520.0
C0027,박시우,SILVER,용인,3,12,497800.0,2026-08-19 18:15:00,165933.0
C0028,이준서,VIP,서울,5,22,1008550.0,2026-06-22 13:06:00,201710.0
C0029,조현우,GOLD,고양,6,25,845350.0,2026-09-04 13:55:00,140892.0
C0030,정준서,BRONZE,고양,5,20,598050.0,2026-09-09 15:52:00,119610.0
C0031,김서연,SILVER,광명,5,30,1650900.0,2026-09-11 16:29:00,330180.0
C0032,김민준,SILVER,용인,6,22,929500.0,2026-09-14 21:02:00,154917.0
C0033,정시우,GOLD,성남,7,47,1920000.0,2026-08-10 20:50:00,274286.0
C0034,김시우,BRONZE,성남,6,20,621450.0,2026-09-02 13:56:00,103575.0
C0035,김도윤,VIP,성남,5,25,913950.0,2026-09-01 14:20:00,182790.0
C0036,강지훈,BRONZE,고양,6,30,998850.0,2026-06-01 08:58:00,166475.0
C0037,김준서,BRONZE,성남,3,19,692900.0,2026-09-05 14:35:00,230967.0
C0038,정현우,GOLD,성남,1,8,330000.0,2026-04-18 16:01:00,330000.0
C0039,박수빈,VIP,고양,6,32,1906300.0,2026-07-22 15:11:00,317717.0
C0040,박민준,BRONZE,성남,2,12,506200.0,2026-01-25 15:32:00,253100.0
C0041,정서연,SILVER,서울,7,36,2203700.0,2026-07-28 20:57:00,314814.0
C0042,이도윤,SILVER,수원,5,29,1772050.0,2026-09-13 19:09:00,354410.0
C0043,조지민,SILVER,김포,7,37,1779000.0,2026-07-23 19:29:00,254143.0
C0044,박수빈,BRONZE,성남,3,14,571900.0,2026-04-29 18:41:00,190633.0
C0045,박현우,BRONZE,성남,5,20,1871500.0,2026-09-01 12:51:00,374300.0
C0046,이도윤,SILVER,서울,9,48,2787550.0,2026-08-07 12:45:00,309728.0
C0047,박수빈,BRONZE,김포,4,17,642500.0,2026-09-07 18:25:00,160625.0
C0048,이수빈,GOLD,안양,0,0,0.0,,0.0
C0049,이지훈,SILVER,고양,1,3,114000.0,2026-02-02 08:46:00,114000.0
C0050,장준서,SILVER,용인,7,31,1023500.0,2026-08-18 20:01:00,146214.0
C0051,이시우,GOLD,수원,5,24,803800.0,2026-07-04 10:52:00,160760.0
C0052,임하윤,GOLD,고양,6,31,1518600.0,2026-09-16 21:58:00,253100.0
C0053,장준서,BRONZE,부천,3,12,334800.0,2026-06-11 12:05:00,111600.0
C0054,박하윤,GOLD,고양,2,13,676400.0,2026-04-15 21:07:00,338200.0
C0056,조예린,GOLD,김포,3,15,1382450.0,2026-06-21 19:25:00,460817.0
C0057,윤예린,BRONZE,서울,2,8,227350.0,2026-02-14 19:52:00,113675.0
C0058,윤유진,GOLD,고양,6,23,747800.0,2026-07-17 19:37:00,124633.0
C0059,장서연,SILVER,성남,4,28,893400.0,2026-09-01 09:02:00,223350.0
C0060,임민준,BRONZE,서울,2,15,543950.0,2026-05-17 21:08:00,271975.0
C0061,임지민,SILVER,서울,6,18,538150.0,2026-07-16 20:58:00,89692.0
C0062,박하윤,SILVER,부천,7,32,1430950.0,2026-07-29 08:16:00,204421.0
C0063,장시우,SILVER,광명,8,24,1010750.0,2026-06-14 18:46:00,126344.0
C0064,최도윤,BRONZE,수원,3,9,1161000.0,2026-04-30 10:58:00,387000.0
C0065,정지민,BRONZE,용인,3,10,411800.0,2026-05-16 19:38:00,137267.0
C0066,강시우,GOLD,김포,2,13,505450.0,2026-08-20 10:16:00,252725.0
C0067,강예린,BRONZE,인천,4,18,589400.0,2026-06-07 18:55:00,147350.0
C0068,조지훈,SILVER,김포,2,12,388150.0,2026-06-24 12:15:00,194075.0
C0069,장지훈,SILVER,서울,9,54,2127050.0,2026-09-06 17:16:00,236339.0
C0070,최현우,BRONZE,고양,7,38,1410250.0,2026-09-02 10:11:00,201464.0
C0071,임민준,GOLD,안양,9,51,2769200.0,2026-06-20 08:54:00,307689.0
C0072,김하윤,SILVER,성남,7,33,1142700.0,2026-08-10 17:38:00,163243.0
C0073,장하윤,BRONZE,고양,6,33,1189450.0,2026-07-31 18:50:00,198242.0
C0074,조민준,BRONZE,광명,7,33,1050000.0,2026-09-02 11:00:00,150000.0
C0075,김민준,SILVER,서울,7,33,3381100.0,2026-08-12 08:09:00,483014.0
C0076,이민준,BRONZE,수원,4,15,510100.0,2026-07-19 15:10:00,127525.0
C0077,최준서,BRONZE,부천,6,40,2153800.0,2026-07-09 14:17:00,358967.0
C0078,이지훈,BRONZE,용인,4,27,781500.0,2026-08-01 09:04:00,195375.0
C0079,강현우,SILVER,용인,10,48,2252850.0,2026-07-18 15:15:00,225285.0
C0080,윤유진,SILVER,부천,6,28,1339000.0,2026-09-14 13:01:00,223167.0
